import time: self [us] | cumulative | imported package
import time:      8921 |      16885 |                       numpy._core.fromnumeric
import time:      7333 |      31768 |                     numpy._core._machar
import time:      6758 |       6758 |                         numpy._core.shape_base
import time:      6582 |       6582 |                         numpy._core._asarray
import time:      7206 |       7206 |                         numpy._core.arrayprint
import time:     87905 |     108451 |                       numpy._core.numeric
import time:      8627 |     117078 |                     numpy._core.einsumfunc
import time:     13496 |      13496 |                     numpy._core.function_base
import time:     13996 |      13996 |                     numpy._core.getlimits
import time:      8962 |       8962 |                     numpy._core.memmap
import time:     29197 |      29197 |                     numpy._core.records
import time:      9548 |       9548 |                     numpy._core._add_newdocs
import time:      4624 |       4624 |                     numpy._core._add_newdocs_scalars
import time:      6206 |       6206 |                     numpy._core._dtype_ctypes
import time:      4963 |       4963 |                     numpy._core._internal
import time:      5208 |       5208 |                     numpy._pytesttester
import time:    130969 |    1752366 |                   numpy._core
import time:       142 |    1752507 |                 numpy._core._multiarray_umath
import time:    143958 |    1896464 |               numpy.__config__
import time:      3763 |       3763 |                                 numpy._typing._nbit_base
import time:      3289 |       3289 |                                 numpy._typing._nested_sequence
import time:      3625 |       3625 |                                 numpy._typing._shape
import time:      7947 |      18623 |                               numpy._typing._array_like
import time:      4465 |       4465 |                               numpy._typing._char_codes
import time:      4761 |       4761 |                               numpy._typing._dtype_like
import time:      3436 |       3436 |                               numpy._typing._nbit
import time:      3270 |       3270 |                               numpy._typing._scalars
import time:      3118 |       3118 |                               numpy._typing._ufunc
import time:     10314 |      47985 |                             numpy._typing
import time:      3811 |       3811 |                               numpy.lib._stride_tricks_impl
import time:      3885 |       7695 |                             numpy.lib._twodim_base_impl
import time:      3287 |       3287 |                               numpy.lib._array_utils_impl
import time:      3524 |       6810 |                             numpy.lib.array_utils
import time:      2233 |       2233 |                             numpy.linalg._umath_linalg
import time:      7705 |      72427 |                           numpy.linalg._linalg
import time:      4168 |       4168 |                           numpy.linalg.linalg
import time:     10112 |      86705 |                         numpy.linalg
import time:      4563 |      91268 |                       numpy.matrixlib.defmatrix
import time:      4550 |      95817 |                     numpy.matrixlib
import time:      3068 |       3068 |                       numpy.lib._histograms_impl
import time:      4375 |       7443 |                     numpy.lib._function_base_impl
import time:      2968 |       2968 |                     numpy.lib.stride_tricks
import time:      4048 |     110275 |                   numpy.lib._index_tricks_impl
import time:      6402 |     116676 |                 numpy.lib._arraypad_impl
import time:      3965 |       3965 |                 numpy.lib._arraysetops_impl
import time:      3021 |       3021 |                 numpy.lib._arrayterator_impl
import time:      3272 |       3272 |                 numpy.lib._nanfunctions_impl
import time:      3173 |       3173 |                       numpy.lib._utils_impl
import time:      4062 |       7234 |                     numpy.lib._format_impl
import time:      3703 |      10937 |                   numpy.lib.format
import time:      3322 |       3322 |                   numpy.lib._datasource
import time:      3709 |       3709 |                   numpy.lib._iotools
import time:      4737 |      22703 |                 numpy.lib._npyio_impl
import time:      2941 |       2941 |                     numpy.lib._ufunclike_impl
import time:      3288 |       6229 |                   numpy.lib._type_check_impl
import time:      3889 |      10117 |                 numpy.lib._polynomial_impl
import time:      3325 |       3325 |                 numpy.lib._shape_base_impl
import time:      3203 |       3203 |                 numpy.lib._version
import time:      3652 |       3652 |                 numpy.lib.introspect
import time:      3487 |       3487 |                 numpy.lib.mixins
import time:      3037 |       3037 |                 numpy.lib.npyio
import time:      3578 |       3578 |                   numpy.lib._scimath_impl
import time:      3227 |       6804 |                 numpy.lib.scimath
import time:      6121 |     189377 |               numpy.lib
import time:      3661 |       3661 |               numpy._array_api_info
import time:    200702 |    3223968 |             wandb.sdk.data_types._dtypes
import time:      4941 |       4941 |             wandb.sdk.data_types._private
import time:      6120 |       6120 |               wandb.sdk.data_types.base_types
import time:     22977 |      22977 |                     wandb.integration
import time:     40327 |      40327 |                     wandb.integration.sagemaker.auth
import time:     25718 |      25718 |                       wandb.integration.sagemaker.files
import time:     25071 |      50788 |                     wandb.integration.sagemaker.config
import time:     90400 |      90400 |                     wandb.integration.sagemaker.resources
import time:     56949 |     261438 |                   wandb.integration.sagemaker
import time:       131 |        131 |                             _locale
import time:      1569 |       1700 |                           locale
import time:        78 |         78 |                           fcntl
